2025-04-15 20:20:32.047611 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:32.167449 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:32.287681 | 34.237.73.95 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.237.73.95_20250415
2025-04-15 20:20:32.403470 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:33.167342 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:33.752617 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:33.873149 | 149.154.167.41 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_149.154.167.41_20250415
2025-04-15 20:20:33.994856 | 149.154.167.41 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_149.154.167.41_20250415
2025-04-15 20:20:34.104101 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:34.206826 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:34.554743 | 192.168.0.1 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.1_20250415
2025-04-15 20:20:34.859989 | 192.168.0.1 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.1_20250415
2025-04-15 20:20:35.064494 | 192.168.0.1 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.1_20250415
2025-04-15 20:20:35.370797 | 192.168.0.1 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.1_20250415
2025-04-15 20:20:46.457693 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:46.573856 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:47.570286 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:47.685970 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:47.804509 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:47.914414 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:48.017819 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:48.125037 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:48.229122 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:48.330740 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:48.437332 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:48.541819 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:48.642004 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:48.748290 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:48.852812 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:48.957473 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:49.058837 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:49.165314 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:49.266221 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:49.370412 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:49.477515 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:49.587406 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:49.692012 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:49.797460 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:49.902028 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:50.004361 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:50.107213 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:50.210845 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:50.315123 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:50.417513 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:50.521795 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:50.626557 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:50.739931 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
